,albania-education-strategy-2004-2015.pdf,armenia_educational_national_plan.pdf
pend,1,1
wk,3,0
reg,1,0
rationalis,3,0
eduact,1,0
media,1,0
broadcast,1,4
specialis,1,0
teac,1,0
direc,1,0
stat,1,0
softwar,1,0
armenia,0,70
o,0,7
l,0,2
yerevan,0,4
articl,0,5
roa,0,48
doc,0,46
overview,0,4
field,0,84
brief,0,2
ii,0,2
attach,0,8
centuri,0,3
armenian,0,11
stronghold,0,1
surviv,0,1
soviet,0,3
popular,0,3
arena,0,1
nowaday,0,1
cid,0,72
subordin,0,3
net,0,5
budgetari,0,21
unifi,0,11
crech,0,2
nurseri,0,2
kindergarten,0,6
joint,0,6
department,0,1
wherea,0,3
durat,0,4
elementari,0,6
middl,0,5
constitut,0,10
eight,0,1
colleg,0,2
besid,0,2
licens,0,4
depriv,0,2
vulner,0,5
talent,0,1
night,0,1
athlet,0,2
esthet,0,2
preliminari,0,5
sts,0,1
stss,0,4
mid,0,42
mlpei,0,6
daytim,0,1
chosen,0,1
junior,0,1
subsidiari,0,1
bachelor,0,2
magistr,0,3
unpaid,0,1
studentship,0,3
aspirantura,0,3
doctor,0,3
ph,0,7
ma,0,8
tutor,0,2
pedagogu,0,32
exceed,0,4
cadr,0,14
disproport,0,6
staf,0,3
incomplet,0,4
got,0,1
women,0,4
men,0,1
lectur,0,10
docent,0,1
scientif,0,28
steadili,0,1
thousand,0,2
dram,0,4
mention,0,4
septemb,0,6
wage,0,3
assembl,0,1
april,0,2
statement,0,1
definit,0,10
channel,0,2
exemplari,0,10
charter,0,9
temporarili,0,2
partial,0,2
suspend,0,4
decre,0,5
no,0,6
find,0,1
revolv,0,2
coupl,0,1
magazin,0,1
bnaget,0,1
naturalist,0,1
mathemat,0,2
russian,0,1
resum,0,1
marz,0,9
attain,0,2
professssion,0,1
